32
1 (52, 48): 100
2 (52, 49): 100
3 (52, 50): 100
4 (52, 51): 100
5 (52, 52): 100
6 (51, 48): 100
7 (51, 49): 100
8 (51, 50): 100
9 (51, 51): 100
10 (51, 52): 100
11 (50, 48): 100
12 (50, 49): 100
13 (50, 51): 100
14 (50, 52): 100
15 (49, 48): 100
16 (49, 49): 100
17 (49, 50): 100
18 (49, 51): 100
19 (49, 52): 100
20 (48, 48): 100
21 (48, 49): 100
22 (48, 50): 100
23 (48, 51): 100
24 (48, 52): 100
25 (50, 44): 100
26 (50, 45): 100
27 (50, 46): 100
28 (50, 48): 100
29 (50, 53): 100
30 (50, 54): 100
31 (50, 55): 100
32 (50, 56): 100
